// 각 줄에서 겹슬래시 "//" 및 별슬래시 "/*"에 이어지는 텍스트는 모두 주석으로 취급됩니다.
// 번역 파일에 별슬래시를 사용하여 주석을 작성하면 추출 파일에도 가능한 보존됩니다.
// "//*"와 같이 사용하면 겹슬래시로 취급됩니다.
// 
// 이름 추출시 아래와 같은 형태로 기록됩니다.
// 
// 키(원본 이름)->활성 이름
// 
// 키: 각 이름을 참조하는 고유값입니다. 다르거나 잘못 기입하면 번역이 적용되지 않습니다.
// 원본 이름: 키가 가리키는 원래 이름입니다.
// 활성 이름: 추출 시점에서 해당하는 키에 적용된 이름입니다. 이 부분을 수정한 파일을 정해진 경로에 위치시키면 림월드 실행 시 해당 이름으로 번역됩니다.
// 
// 이름은 "이름 [별명] 성" 세트로 구성되거나 단일 낱말입니다.
// 이름의 각 구성 요소 내부의 공백은 반영되나, 양 끝의 공백은 제거됩니다.
// 예를 들어, 별명 부분이 "  슝 좍  " 인 경우 "슝 좍"으로 적용됩니다.
// 
// 추출된 이름은 번역 파일 내에서 활성 이름을 기준으로
// 1. 각 요소가 모두 원본과 다른 이름 (완전히 번역된 이름)
// 2. 이름과 성은 원본과 다르지만 별명만 같은 이름
// 3. 이름이나 성 중 하나라도 원본과 같은 이름
// 순서로 정렬됩니다.
// 
// 번역 파일의 위치는 '모드 폴더/Languages/사용 언어 폴더/Strings/Names' 이며, 파일 이름은 변경되어선 안됩니다.

// 1. [Fully Translated]
60dc9de6(Kyphis [Bard] Talrathian)->카이피스 [바드] 탈라시안
4e873221(Samuel [Kalesin] Argento)->사무엘 [칼레신] 아르젠토
afcdc627(Lukas [Lucky] Sarnowski)->루카스 [럭키] 사르노프스키
548a78a0(Derek [Tosser] McCormick)->데릭 [멍청이] 맥코믹
cafb1887(Chris [Harrison] Harrison)->크리스 [해리슨] 해리슨
c3ca4490(Harvey [Diesel] Bragg)->하비 [디젤] 브래그
d2151434(Corwin [Corwin] Dodd)->코윈 [코윈] 도드
3ef32721(Roman [Flammer] Flammer)->로만 [플람머] 플람머
0c2604e4(Geoffrey [Biscuit] Mason)->제프리 [비스킷] 메이슨
f171e0b2(Andrew [Smokey] Schmokel)->앤드루 [스모키] 슈모켈
1c12feee(Brendon [Bangers] Joannides)->브렌던 [뱅거스] 조안니데스
09fa09c5(Austin [Austin] Griesinger)->오스틴 [오스틴] 그리징어
794d057f(Samuel [Sam] Crawley)->사무엘 [샘] 크롤리
d416e1e5(Miles [Milo] Koons)->마일스 [마일로] 쿤스
043039f6(Luke [Duke] Delahunty)->루크 [듀크] 델라헌티
7ebc6962(Maxime [Kezel] Chouinard)->막심 [케젤] 슈이나르
2363747e(Andrew [Furious] Carroll)->앤드루 [퓨리어스] 캐럴
90e190e7(Daine [Rask] Rask)->데인 [라스크] 라스크
472f7621(Zachary [Gauld] Gauld)->재커리 [골드] 골드
5ba44510(Patrick [Paddy] Grace)->패트릭 [패디] 그레이스
9b9859fd(Matthew [Mongo] Monagon)->매튜 [몬고] 모나건
a366fb11(Howard [Hoglu] Hoglund)->하워드 [호글루] 호글런드
22a42069(Jonathan [Jojo] Moreau)->조너선 [조조] 모로
b757d73d(Ranger [Danger] Rodneyfield)->레인저 [데인저] 로드니필드
e413de7c(Robert [Wilko] Wilkin)->로버트 [윌코] 윌킨
7180f1b3(Duncan [Mote] Mote)->던컨 [모트] 모트
79b0652d(Miles [Park] Park)->마일스 [파크] 파크
8daf4a6a(Carl [Carlos] Findahl)->칼 [카를로스] 핀달
c2fc2267(Tristan [Tee Bee] Bellwood)->트리스탄 [티비] 벨우드
0dae6833(Stephen [Othello] Accetta)->스티븐 [오셀로] 아체타
562a502e(Jan [Kroko] Schneider)->얀 [크로코] 슈나이더
72a61789(Jack [Anarchy] Perry)->잭 [아나키] 페리
c7595a0d(Nikolaj [Niko] Rusanov)->니콜라이 [니코] 루사노프
677e894e(Tomasz [Kubicek] Kubik)->토마시 [쿠비체크] 쿠비크
8f188aab(Sascha [Doom] Elies)->사샤 [둠] 엘리에스
02c582ee(Haakon [Fagermo] Fagermo)->호콘 [파게르모] 파게르모
c4bc8fbf(Christopher [Kordus] Kordus)->크리스토퍼 [코르두스] 코르두스
7879f407(Manuel [Spain] Jerosch)->마누엘 [스페인] 예로슈
c3c84e18(Marc [Plek] Lehman)->마크 [플렉] 리먼
1ecccd76(Joseph [Lucher] Lonchar)->조셉 [루처] 론차르
0db87071(Tristan [Tristan] Nauber)->트리스탄 [트리스탄] 나우버
0413d5ff(Kim [Kipi] Kangasniemi)->킴 [키피] 캉가스니에미
