알 코홀릭
아르 키드
비디 아이
비스티 보이
벨링 캣
벤 도버
베른 리들
비타 크럼펫
본 조비
벅 패스
벅 로저스
벙갈로우 빌
코튼아이 조
대디 쿨
댄 앱노말
댄디 워홀
대니 보이
딕시 디너
더티 해리
딕시 노머스
돈 브롱코
덥 체핀
에베니저 구데
에드가 린턴
기글 베리
군산 로지즈
해드독 아이
한 글로우
한 발렌
행키 팽키
해리 패치
호레이스 윔프
핫 칩
휴 제스
아이언 메이든
잭 올트레이드
잭 박스
잭 포인트
잭퀘스 스트랩
자이브 버니
조니 썬더
조커 제임스
존 보비
마이크 호크
카리 타피오
란셀롯 고보
레프 데파드
린덴 아르덴
린크 인파크
라이나이드 스카이나이드
메이저 톰
맥스웰 실버해머
마이크 로치
뮬 킨타이어
멍글 필그리프
네드 켈리
올리버 클로조프
피터 패닉
피터 파이퍼
피터 펌킨헤드
펠린 수퍼소닉
피에르 팬츠
폰티어스 필라트
프린스 알버트
프로콜 하룸
록펠러 스칸그
로키 라쿤
러스티 트롬본
새턴즈 바즈
세넥스 아만
서전트 페퍼 
세이무어 버츠
샷건 윌리
스틸리 댄
스티브 에벳츠
테스트 아이시클
톰슨 트윈
트레이시 잭스
비다 로카
윌 소머즈
윌리 로만
